Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
AR,"Carroll County, AR","12,383",400,3.1
AR,"Chicot County, AR","3,057",228,6.9
AR,"Clark County, AR","9,323",368,3.8
AR,"Clay County, AR","5,413",278,4.9
AR,"Cleburne County, AR","8,808",418,4.5
AR,"Cleveland County, AR","3,092",127,3.9
AR,"Columbia County, AR","8,730",410,4.5
AR,"Conway County, AR","7,926",359,4.3
AR,"Craighead County, AR","54,097","1,555",2.8
AR,"Crawford County, AR","26,028",894,3.3
AR,"Crittenden County, AR","20,512",910,4.2
AR,"Cross County, AR","7,097",314,4.2
AR,"Dallas County, AR","2,706",134,4.7
AR,"Desha County, AR","5,161",241,4.5
AR,"Drew County, AR","7,456",408,5.2
AR,"Faulkner County, AR","60,556","1,875",3
AR,"Franklin County, AR","7,242",252,3.4
AR,"Fulton County, AR","4,763",199,4
AR,"Garland County, AR","39,809","1,537",3.7
AR,"Grant County, AR","8,136",267,3.2
AR,"Greene County, AR","19,366",699,3.5
AR,"Hempstead County, AR","9,571",380,3.8
AR,"Hot Spring County, AR","13,509",510,3.6
AR,"Howard County, AR","5,525",186,3.3
AR,"Independence County, AR","15,868",659,4
AR,"Izard County, AR","4,643",269,5.5
AR,"Jackson County, AR","5,460",380,6.5
AR,"Jefferson County, AR","26,220","1,520",5.5
AR,"Johnson County, AR","9,809",469,4.6
AR,"Lafayette County, AR","2,351",115,4.7
AR,"Lawrence County, AR","6,533",284,4.2
AR,"Lee County, AR","2,706",127,4.5
AR,"Lincoln County, AR","3,777",173,4.4
AR,"Little River County, AR","5,280",238,4.3
AR,"Logan County, AR","8,210",373,4.3
AR,"Lonoke County, AR","33,359","1,109",3.2
AR,"Madison County, AR","7,238",189,2.5
AR,"Marion County, AR","6,406",267,4
AR,"Miller County, AR","18,941",809,4.1
AR,"Mississippi County, AR","16,467",891,5.1
AR,"Monroe County, AR","2,642",119,4.3
AR,"Montgomery County, AR","2,832",138,4.6
AR,"Nevada County, AR","3,517",145,4
AR,"Newton County, AR","3,218",117,3.5
AR,"Ouachita County, AR","9,330",508,5.2
AR,"Perry County, AR","4,100",175,4.1
AR,"Phillips County, AR","5,996",383,6
AR,"Pike County, AR","4,086",164,3.9
AR,"Poinsett County, AR","9,929",350,3.4
AR,"Polk County, AR","7,782",339,4.2
AR,"Pope County, AR","27,618","1,251",4.3
AR,"Prairie County, AR","3,430",156,4.4
AR,"Pulaski County, AR","183,776","6,472",3.4
AR,"Randolph County, AR","7,017",284,3.9
AR,"St. Francis County, AR","7,772",425,5.2
AR,"Saline County, AR","57,450","1,664",2.8
AR,"Scott County, AR","4,167",147,3.4
AR,"Searcy County, AR","2,781",133,4.6
AR,"Sebastian County, AR","54,834","1,864",3.3
AR,"Sevier County, AR","5,248",265,4.8
AR,"Sharp County, AR","5,457",285,5
AR,"Stone County, AR","4,503",223,4.7
AR,"Union County, AR","15,018",829,5.2
AR,"Van Buren County, AR","5,455",286,5
AR,"Washington County, AR","121,914","3,053",2.4
AR,"White County, AR","32,281","1,519",4.5
AR,"Woodruff County, AR","2,627",146,5.3
AR,"Yell County, AR","8,081",336,4
CA,California,"18,627,378","784,194",4
CA,"Alameda County, CA","819,675","24,671",2.9
CA,"Alpine County, CA",523,28,5.1
CA,"Amador County, CA","14,328",572,3.8
CA,"Butte County, CA","94,162","5,080",5.1
CA,"Calaveras County, CA","20,616",812,3.8
CA,"Colusa County, CA","9,586","1,407",12.8
CA,"Contra Costa County, CA","544,496","17,261",3.1
CA,"Del Norte County, CA","9,119",555,5.7
CA,"El Dorado County, CA","88,785","3,237",3.5
CA,"Fresno County, CA","418,092","32,668",7.2
CA,"Glenn County, CA","12,201",796,6.1
CA,"Humboldt County, CA","60,254","2,253",3.6
CA,"Imperial County, CA","58,331","13,080",18.3
CA,"Inyo County, CA","8,450",310,3.5
CA,"Kern County, CA","360,783","30,216",7.7
CA,"Kings County, CA","53,222","4,566",7.9
CA,"Lake County, CA","27,687","1,471",5
CA,"Lassen County, CA","9,416",453,4.6
CA,"Los Angeles County, CA","4,894,296","227,288",4.4
CA,"Madera County, CA","57,651","4,294",6.9
CA,"Marin County, CA","136,786","3,193",2.3
CA,"Mariposa County, CA","7,262",350,4.6
CA,"Mendocino County, CA","37,388","1,546",4
CA,"Merced County, CA","106,866","9,360",8.1
CA,"Modoc County, CA","2,947",224,7.1
CA,"Mono County, CA","8,195",313,3.7
CA,"Monterey County, CA","208,717","13,799",6.2
CA,"Napa County, CA","71,900","2,104",2.8
CA,"Nevada County, CA","47,022","1,617",3.3
CA,"Orange County, CA","1,578,334","45,087",2.8
CA,"Placer County, CA","182,093","5,839",3.1
CA,"Plumas County, CA","7,296",607,7.7
CA,"Riverside County, CA","1,057,884","46,151",4.2
CA,"Sacramento County, CA","686,298","26,096",3.7
CA,"San Benito County, CA","29,845","1,587",5
