Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
ID,"Bonneville County, ID","55,678","1,364",2.4
ID,"Boundary County, ID","5,138",238,4.4
ID,"Butte County, ID","1,360",37,2.6
ID,"Camas County, ID",676,19,2.7
ID,"Canyon County, ID","101,058","3,344",3.2
ID,"Caribou County, ID","4,025",110,2.7
ID,"Cassia County, ID","11,920",295,2.4
ID,"Clark County, ID",364,14,3.7
ID,"Clearwater County, ID","2,708",197,6.8
ID,"Custer County, ID","2,134",94,4.2
ID,"Elmore County, ID","11,169",378,3.3
ID,"Franklin County, ID","6,876",165,2.3
ID,"Fremont County, ID","7,686",184,2.3
ID,"Gem County, ID","8,035",273,3.3
ID,"Gooding County, ID","8,005",217,2.6
ID,"Idaho County, ID","6,265",298,4.5
ID,"Jefferson County, ID","13,709",326,2.3
ID,"Jerome County, ID","11,884",315,2.6
ID,"Kootenai County, ID","77,257","2,845",3.6
ID,"Latah County, ID","19,994",555,2.7
ID,"Lemhi County, ID","3,396",170,4.8
ID,"Lewis County, ID","1,558",90,5.5
ID,"Lincoln County, ID","2,607",96,3.6
ID,"Madison County, ID","21,539",402,1.8
ID,"Minidoka County, ID","11,151",291,2.5
ID,"Nez Perce County, ID","20,459",598,2.8
ID,"Oneida County, ID","2,268",53,2.3
ID,"Owyhee County, ID","5,251",183,3.4
ID,"Payette County, ID","11,248",415,3.6
ID,"Power County, ID","3,965",127,3.1
ID,"Shoshone County, ID","4,839",304,5.9
ID,"Teton County, ID","6,480",146,2.2
ID,"Twin Falls County, ID","40,234","1,159",2.8
ID,"Valley County, ID","5,338",216,3.9
ID,"Washington County, ID","4,420",192,4.2
IL,Illinois,"6,190,757","255,853",4
IL,"Adams County, IL","31,249","1,109",3.4
IL,"Alexander County, IL","1,923",127,6.2
IL,"Bond County, IL","7,533",300,3.8
IL,"Boone County, IL","24,890","1,487",5.6
IL,"Brown County, IL","2,921",72,2.4
IL,"Bureau County, IL","16,585",807,4.6
IL,"Calhoun County, IL","2,225",113,4.8
IL,"Carroll County, IL","7,022",303,4.1
IL,"Cass County, IL","5,878",253,4.1
IL,"Champaign County, IL","105,014","4,102",3.8
IL,"Christian County, IL","13,910",705,4.8
IL,"Clark County, IL","7,345",348,4.5
IL,"Clay County, IL","6,212",296,4.5
IL,"Clinton County, IL","19,908",640,3.1
IL,"Coles County, IL","22,889",966,4
IL,"Cook County, IL","2,496,526","98,233",3.8
IL,"Crawford County, IL","8,340",375,4.3
IL,"Cumberland County, IL","5,915",210,3.4
IL,"DeKalb County, IL","53,115","2,282",4.1
IL,"De Witt County, IL","7,165",325,4.3
IL,"Douglas County, IL","9,897",366,3.6
IL,"DuPage County, IL","492,985","14,817",2.9
IL,"Edgar County, IL","8,636",383,4.2
IL,"Edwards County, IL","2,604",111,4.1
IL,"Effingham County, IL","18,740",630,3.3
IL,"Fayette County, IL","9,504",436,4.4
IL,"Ford County, IL","6,211",279,4.3
IL,"Franklin County, IL","15,565",891,5.4
IL,"Fulton County, IL","14,409",853,5.6
IL,"Gallatin County, IL","2,244",115,4.9
IL,"Greene County, IL","5,776",260,4.3
IL,"Grundy County, IL","24,307","1,136",4.5
IL,"Hamilton County, IL","4,277",172,3.9
IL,"Hancock County, IL","8,067",397,4.7
IL,"Hardin County, IL","1,231",87,6.6
IL,"Henderson County, IL","3,463",175,4.8
IL,"Henry County, IL","24,015","1,202",4.8
IL,"Iroquois County, IL","13,873",608,4.2
IL,"Jackson County, IL","27,012","1,071",3.8
IL,"Jasper County, IL","4,469",198,4.2
IL,"Jefferson County, IL","16,720",805,4.6
IL,"Jersey County, IL","10,555",489,4.4
IL,"Jo Daviess County, IL","10,428",441,4.1
IL,"Johnson County, IL","3,905",250,6
IL,"Kane County, IL","262,136","12,162",4.4
IL,"Kankakee County, IL","53,396","2,811",5
IL,"Kendall County, IL","66,358","2,272",3.3
IL,"Knox County, IL","20,771","1,085",5
IL,"Lake County, IL","362,822","15,603",4.1
IL,"LaSalle County, IL","52,081","2,921",5.3
IL,"Lawrence County, IL","5,606",307,5.2
IL,"Lee County, IL","17,018",706,4
IL,"Livingston County, IL","15,984",679,4.1
IL,"Logan County, IL","12,185",554,4.3
IL,"McDonough County, IL","12,830",628,4.7
IL,"McHenry County, IL","160,086","5,488",3.3
IL,"McLean County, IL","85,134","3,326",3.8
IL,"Macon County, IL","46,328","2,577",5.3
IL,"Macoupin County, IL","22,136",989,4.3
IL,"Madison County, IL","129,708","5,291",3.9
IL,"Marion County, IL","16,889",791,4.5
IL,"Marshall County, IL","5,108",258,4.8
IL,"Mason County, IL","6,004",338,5.3
IL,"Massac County, IL","5,336",316,5.6
IL,"Menard County, IL","6,295",247,3.8
IL,"Mercer County, IL","7,761",407,5
IL,"Monroe County, IL","18,313",589,3.1
IL,"Montgomery County, IL","11,207",616,5.2
IL,"Morgan County, IL","15,910",668,4
IL,"Moultrie County, IL","7,384",254,3.3
IL,"Ogle County, IL","23,947","1,215",4.8
IL,"Peoria County, IL","81,085","4,368",5.1
IL,"Perry County, IL","7,960",431,5.1
IL,"Piatt County, IL","8,319",313,3.6
IL,"Pike County, IL","6,751",306,4.3
IL,"Pope County, IL","1,599",94,5.6
IL,"Pulaski County, IL","1,865",131,6.6
IL,"Putnam County, IL","2,912",154,5
IL,"Randolph County, IL","13,842",529,3.7
IL,"Richland County, IL","6,975",298,4.1
IL,"Rock Island County, IL","68,377","3,560",4.9
IL,"St. Clair County, IL","121,685","5,677",4.5
IL,"Saline County, IL","9,188",514,5.3
IL,"Sangamon County, IL","97,552","4,092",4
IL,"Schuyler County, IL","3,139",138,4.2
IL,"Scott County, IL","2,410",120,4.7
IL,"Shelby County, IL","10,278",417,3.9
IL,"Stark County, IL","2,409",146,5.7
IL,"Stephenson County, IL","20,868",955,4.4
IL,"Tazewell County, IL","61,347","2,835",4.4
IL,"Union County, IL","7,070",424,5.7
IL,"Vermilion County, IL","31,540","1,711",5.1
IL,"Wabash County, IL","5,648",226,3.8
IL,"Warren County, IL","8,207",349,4.1
IL,"Washington County, IL","9,995",259,2.5
IL,"Wayne County, IL","6,696",335,4.8
IL,"White County, IL","6,409",254,3.8
IL,"Whiteside County, IL","27,619","1,230",4.3
IL,"Will County, IL","343,602","13,634",3.8
IL,"Williamson County, IL","30,765","1,381",4.3
IL,"Winnebago County, IL","132,290","7,948",5.7
IL,"Woodford County, IL","18,165",705,3.7
IN,Indiana,"3,275,056","112,310",3.3
IN,"Adams County, IN","16,785",470,2.7
IN,"Allen County, IN","180,923","5,876",3.1
IN,"Bartholomew County, IN","43,902","1,125",2.5
IN,"Benton County, IN","4,436",146,3.2
IN,"Blackford County, IN","4,808",198,4
IN,"Boone County, IN","35,553",897,2.5
IN,"Brown County, IN","7,518",232,3
IN,"Carroll County, IN","9,967",309,3
IN,"Cass County, IN","17,366",629,3.5
IN,"Clark County, IN","59,835","2,058",3.3
IN,"Clay County, IN","11,694",430,3.5
IN,"Clinton County, IN","16,769",462,2.7
IN,"Crawford County, IN","4,672",202,4.1
IN,"Daviess County, IN","16,337",435,2.6
IN,"Dearborn County, IN","25,010",921,3.6
IN,"Decatur County, IN","14,618",434,2.9
IN,"DeKalb County, IN","22,116",642,2.8
IN,"Delaware County, IN","51,853","2,092",3.9
IN,"Dubois County, IN","22,590",555,2.4
IN,"Elkhart County, IN","109,468","3,473",3.1
IN,"Fayette County, IN","8,375",416,4.7
IN,"Floyd County, IN","40,476","1,321",3.2
IN,"Fountain County, IN","7,777",283,3.5
IN,"Franklin County, IN","11,052",394,3.4
IN,"Fulton County, IN","9,601",315,3.2
IN,"Gibson County, IN","19,043",491,2.5
IN,"Grant County, IN","30,648","1,185",3.7
IN,"Greene County, IN","13,164",564,4.1
IN,"Hamilton County, IN","180,004","4,657",2.5
IN,"Hancock County, IN","39,317","1,153",2.8
IN,"Harrison County, IN","19,727",659,3.2
IN,"Hendricks County, IN","87,966","2,446",2.7
IN,"Henry County, IN","21,435",730,3.3
IN,"Howard County, IN","35,432","1,483",4
IN,"Huntington County, IN","17,745",599,3.3
IN,"Jackson County, IN","22,356",606,2.6
IN,"Jasper County, IN","15,831",604,3.7
IN,"Jay County, IN","9,216",287,3
IN,"Jefferson County, IN","14,567",511,3.4
IN,"Jennings County, IN","13,151",448,3.3
IN,"Johnson County, IN","81,134","2,241",2.7
IN,"Knox County, IN","18,011",573,3.1
IN,"Kosciusko County, IN","41,248","1,190",2.8
IN,"LaGrange County, IN","19,514",559,2.8
IN,"Lake County, IN","221,096","11,355",4.9
IN,"LaPorte County, IN","46,012","2,050",4.3
IN,"Lawrence County, IN","20,481",766,3.6
IN,"Madison County, IN","57,262","2,190",3.7
IN,"Marion County, IN","476,851","16,116",3.3
IN,"Marshall County, IN","22,513",726,3.1
IN,"Martin County, IN","5,239",141,2.6
IN,"Miami County, IN","14,911",606,3.9
IN,"Monroe County, IN","68,000","2,338",3.3
IN,"Montgomery County, IN","18,275",577,3.1
IN,"Morgan County, IN","35,404","1,128",3.1
IN,"Newton County, IN","6,746",289,4.1
IN,"Noble County, IN","23,023",737,3.1
IN,"Ohio County, IN","3,089",112,3.5
IN,"Orange County, IN","8,353",300,3.5
IN,"Owen County, IN","9,038",375,4
IN,"Parke County, IN","6,847",269,3.8
IN,"Perry County, IN","8,998",308,3.3
IN,"Pike County, IN","5,948",203,3.3
IN,"Porter County, IN","84,303","3,263",3.7
IN,"Posey County, IN","13,306",374,2.7
IN,"Pulaski County, IN","6,367",202,3.1
IN,"Putnam County, IN","16,286",582,3.5
IN,"Randolph County, IN","10,922",425,3.7
IN,"Ripley County, IN","13,860",466,3.3
IN,"Rush County, IN","8,763",241,2.7
IN,"St. Joseph County, IN","131,498","4,933",3.6
IN,"Scott County, IN","10,221",379,3.6
IN,"Shelby County, IN","22,600",675,2.9
IN,"Spencer County, IN","10,501",340,3.1
IN,"Starke County, IN","9,531",432,4.3
IN,"Steuben County, IN","20,232",553,2.7
IN,"Sullivan County, IN","8,085",359,4.3
IN,"Switzerland County, IN","4,857",167,3.3
IN,"Tippecanoe County, IN","96,245","2,903",2.9
IN,"Tipton County, IN","9,084",253,2.7
IN,"Union County, IN","3,457",117,3.3
IN,"Vanderburgh County, IN","92,022","2,906",3.1
IN,"Vermillion County, IN","6,675",366,5.2
IN,"Vigo County, IN","46,409","2,083",4.3
IN,"Wabash County, IN","14,630",471,3.1
IN,"Warren County, IN","4,098",127,3
IN,"Warrick County, IN","32,233",962,2.9
IN,"Washington County, IN","13,315",456,3.3
IN,"Wayne County, IN","29,776","1,105",3.6
IN,"Wells County, IN","14,123",391,2.7
IN,"White County, IN","13,210",367,2.7
IN,"Whitley County, IN","17,354",527,2.9
IA,Iowa,"1,691,016","47,808",2.7
IA,"Adair County, IA","4,180",101,2.4
IA,"Adams County, IA","2,171",38,1.7
IA,"Allamakee County, IA","7,227",263,3.5
IA,"Appanoose County, IA","5,829",215,3.6
IA,"Audubon County, IA","3,093",79,2.5
IA,"Benton County, IA","13,339",406,3
IA,"Black Hawk County, IA","68,011","2,269",3.2
IA,"Boone County, IA","14,791",360,2.4
IA,"Bremer County, IA","13,774",329,2.3
IA,"Buchanan County, IA","11,163",318,2.8
IA,"Buena Vista County, IA","11,673",251,2.1
IA,"Butler County, IA","7,758",257,3.2
IA,"Calhoun County, IA","4,202",110,2.6
IA,"Carroll County, IA","10,890",216,1.9
IA,"Cass County, IA","6,800",198,2.8
IA,"Cedar County, IA","10,738",272,2.5
IA,"Cerro Gordo County, IA","23,262",657,2.7
IA,"Cherokee County, IA","6,086",157,2.5
IA,"Chickasaw County, IA","6,416",189,2.9
IA,"Clarke County, IA","4,799",144,2.9
IA,"Clay County, IA","8,385",239,2.8
IA,"Clayton County, IA","9,925",376,3.7
IA,"Clinton County, IA","22,291",863,3.7
IA,"Crawford County, IA","7,971",295,3.6
IA,"Dallas County, IA","49,377",988,2
IA,"Davis County, IA","4,141",122,2.9
IA,"Decatur County, IA","4,354",99,2.2
IA,"Delaware County, IA","10,468",252,2.4
IA,"Des Moines County, IA","18,810",777,4
IA,"Dickinson County, IA","9,933",295,2.9
IA,"Dubuque County, IA","55,435","1,502",2.6
IA,"Emmet County, IA","5,196",136,2.6
IA,"Fayette County, IA","10,367",383,3.6
IA,"Floyd County, IA","8,657",320,3.6
IA,"Franklin County, IA","5,659",136,2.3
IA,"Fremont County, IA","3,629",103,2.8
IA,"Greene County, IA","5,367",132,2.4
IA,"Grundy County, IA","6,440",183,2.8
IA,"Guthrie County, IA","5,533",170,3
IA,"Hamilton County, IA","6,814",200,2.9
IA,"Hancock County, IA","5,850",145,2.4
IA,"Hardin County, IA","7,939",262,3.2
IA,"Harrison County, IA","7,297",183,2.4
IA,"Henry County, IA","9,668",264,2.7
IA,"Howard County, IA","5,108",148,2.8
IA,"Humboldt County, IA","5,052",138,2.7
IA,"Ida County, IA","4,107",83,2
IA,"Iowa County, IA","10,450",236,2.2
IA,"Jackson County, IA","10,814",352,3.2
IA,"Jasper County, IA","19,478",589,2.9
IA,"Jefferson County, IA","10,002",251,2.4
IA,"Johnson County, IA","85,941","1,783",2
IA,"Jones County, IA","10,532",344,3.2
IA,"Keokuk County, IA","5,136",173,3.3
IA,"Kossuth County, IA","8,347",190,2.2
IA,"Lee County, IA","15,706",644,3.9
IA,"Linn County, IA","120,668","3,622",2.9
IA,"Louisa County, IA","5,947",188,3.1
IA,"Lucas County, IA","4,603",97,2.1
IA,"Lyon County, IA","7,047",118,1.6
IA,"Madison County, IA","8,404",318,3.6
IA,"Mahaska County, IA","11,729",305,2.5
IA,"Marion County, IA","18,215",399,2.1
IA,"Marshall County, IA","17,381",823,4.5
IA,"Mills County, IA","7,334",175,2.3
IA,"Mitchell County, IA","6,834",118,1.7
IA,"Monona County, IA","4,375",134,3
IA,"Monroe County, IA","3,955",125,3.1
IA,"Montgomery County, IA","4,942",135,2.7
IA,"Muscatine County, IA","21,539",636,2.9
IA,"O'Brien County, IA","8,186",181,2.2
IA,"Osceola County, IA","3,509",69,1.9
IA,"Page County, IA","6,310",168,2.6
IA,"Palo Alto County, IA","4,747",108,2.2
IA,"Plymouth County, IA","14,695",338,2.2
IA,"Pocahontas County, IA","4,501",88,1.9
IA,"Polk County, IA","265,893","7,753",2.8
IA,"Pottawattamie County, IA","48,101","1,198",2.4
IA,"Poweshiek County, IA","10,258",281,2.7
IA,"Ringgold County, IA","2,439",72,2.9
IA,"Sac County, IA","5,236",127,2.4
IA,"Scott County, IA","87,687","3,024",3.3
IA,"Shelby County, IA","6,657",144,2.1
IA,"Sioux County, IA","20,939",401,1.9
IA,"Story County, IA","58,115","1,100",1.9
IA,"Tama County, IA","9,308",300,3.1
IA,"Taylor County, IA","3,185",62,1.9
IA,"Union County, IA","6,169",206,3.2
IA,"Van Buren County, IA","3,613",101,2.7
IA,"Wapello County, IA","17,404",664,3.7
IA,"Warren County, IA","28,053",730,2.5
IA,"Washington County, IA","11,908",303,2.5
IA,"Wayne County, IA","2,774",74,2.6
IA,"Webster County, IA","19,159",615,3.1
IA,"Winnebago County, IA","5,051",144,2.8
IA,"Winneshiek County, IA","11,779",346,2.9
IA,"Woodbury County, IA","54,977","1,532",2.7
IA,"Worth County, IA","4,149",120,2.8
IA,"Wright County, IA","6,867",183,2.6
KS,Kansas,"1,439,563","47,057",3.2
KS,"Allen County, KS","6,209",227,3.5
KS,"Anderson County, KS","4,041",137,3.3
KS,"Atchison County, KS","6,626",361,5.2
KS,"Barber County, KS","2,261",58,2.5
KS,"Barton County, KS","13,103",423,3.1
KS,"Bourbon County, KS","6,416",284,4.2
KS,"Brown County, KS","5,183",169,3.2
KS,"Butler County, KS","31,442","1,049",3.2
KS,"Chase County, KS","1,482",42,2.8
KS,"Chautauqua County, KS","1,378",56,3.9
KS,"Cherokee County, KS","9,788",348,3.4
KS,"Cheyenne County, KS","1,278",32,2.4
KS,"Clark County, KS","1,047",25,2.3
KS,"Clay County, KS","3,656",121,3.2
KS,"Cloud County, KS","3,665",122,3.2
KS,"Coffey County, KS","3,841",182,4.5
KS,"Comanche County, KS",846,23,2.6
KS,"Cowley County, KS","15,749",549,3.4
KS,"Crawford County, KS","18,003",726,3.9
KS,"Decatur County, KS","1,198",37,3
KS,"Dickinson County, KS","8,528",314,3.6
KS,"Doniphan County, KS","4,004",139,3.4
KS,"Douglas County, KS","63,457","1,918",2.9
KS,"Edwards County, KS","1,450",38,2.6
KS,"Elk County, KS","1,109",43,3.7
KS,"Ellis County, KS","16,649",387,2.3
KS,"Ellsworth County, KS","2,671",77,2.8
KS,"Finney County, KS","20,121",481,2.3
KS,"Ford County, KS","16,664",424,2.5
KS,"Franklin County, KS","13,557",466,3.3
KS,"Geary County, KS","10,811",500,4.4
KS,"Gove County, KS","1,437",31,2.1
KS,"Graham County, KS","1,080",34,3.1
KS,"Grant County, KS","3,126",92,2.9
KS,"Gray County, KS","3,166",64,2
KS,"Greeley County, KS",780,18,2.3
KS,"Greenwood County, KS","3,136",102,3.2
KS,"Hamilton County, KS","1,583",30,1.9
KS,"Harper County, KS","2,802",73,2.5
KS,"Harvey County, KS","16,496",494,2.9
KS,"Haskell County, KS","2,158",50,2.3
KS,"Hodgeman County, KS",963,24,2.4
KS,"Jackson County, KS","6,959",208,2.9
KS,"Jefferson County, KS","9,788",308,3.1
KS,"Jewell County, KS","1,255",36,2.8
KS,"Johnson County, KS","329,456","9,321",2.8
KS,"Kearny County, KS","1,999",48,2.3
KS,"Kingman County, KS","3,325",109,3.2
KS,"Kiowa County, KS","1,267",30,2.3
KS,"Labette County, KS","9,629",400,4
KS,"Lane County, KS",752,20,2.6
KS,"Leavenworth County, KS","35,225","1,249",3.4
KS,"Lincoln County, KS","1,642",39,2.3
KS,"Linn County, KS","4,176",264,5.9
KS,"Logan County, KS","1,590",33,2
KS,"Lyon County, KS","16,099",567,3.4
KS,"McPherson County, KS","16,789",382,2.2
KS,"Marion County, KS","5,814",177,3
KS,"Marshall County, KS","5,335",157,2.9
KS,"Meade County, KS","2,105",50,2.3
KS,"Miami County, KS","16,898",578,3.3
KS,"Mitchell County, KS","3,279",80,2.4
KS,"Montgomery County, KS","14,196",605,4.1
KS,"Morris County, KS","2,912",81,2.7
KS,"Morton County, KS","1,107",33,2.9
KS,"Nemaha County, KS","5,220",148,2.8
KS,"Neosho County, KS","5,850",280,4.6
KS,"Ness County, KS","1,308",34,2.5
KS,"Norton County, KS","2,641",59,2.2
KS,"Osage County, KS","7,689",284,3.6
KS,"Osborne County, KS","2,009",41,2
KS,"Ottawa County, KS","2,927",82,2.7
KS,"Pawnee County, KS","2,791",82,2.9
KS,"Phillips County, KS","2,569",69,2.6
KS,"Pottawatomie County, KS","12,062",348,2.8
KS,"Pratt County, KS","4,783",124,2.5
KS,"Rawlins County, KS","1,457",33,2.2
KS,"Reno County, KS","28,692",950,3.2
KS,"Republic County, KS","2,205",58,2.6
KS,"Rice County, KS","5,063",145,2.8
KS,"Riley County, KS","34,062",984,2.8
KS,"Rooks County, KS","2,448",90,3.5
KS,"Rush County, KS","1,586",46,2.8
KS,"Russell County, KS","3,200",96,2.9
KS,"Saline County, KS","29,269",907,3
KS,"Scott County, KS","2,778",54,1.9
KS,"Sedgwick County, KS","242,477","8,678",3.5
KS,"Seward County, KS","9,222",294,3.1
KS,"Shawnee County, KS","87,395","3,015",3.3
KS,"Sheridan County, KS","1,374",31,2.2
KS,"Sherman County, KS","2,766",78,2.7
KS,"Smith County, KS","1,923",50,2.5
KS,"Stafford County, KS","1,956",54,2.7
KS,"Stanton County, KS",960,25,2.5
KS,"Stevens County, KS","2,476",67,2.6
KS,"Sumner County, KS","10,537",366,3.4
KS,"Thomas County, KS","4,208",97,2.3
KS,"Trego County, KS","1,376",40,2.8
KS,"Wabaunsee County, KS","3,529",118,3.2
KS,"Wallace County, KS",784,21,2.6
KS,"Washington County, KS","2,838",77,2.6
KS,"Wichita County, KS","1,329",27,2
KS,"Wilson County, KS","3,791",156,4
KS,"Woodson County, KS","1,540",68,4.2
KS,"Wyandotte County, KS","73,917","3,334",4.3
KY,Kentucky,"1,983,577","89,009",4.3
KY,"Adair County, KY","6,760",380,5.3
KY,"Allen County, KY","8,682",378,4.2
KY,"Anderson County, KY","11,643",448,3.7
KY,"Ballard County, KY","3,323",201,5.7
KY,"Barren County, KY","18,001",851,4.5
KY,"Bath County, KY","4,343",288,6.2
KY,"Bell County, KY","7,909",543,6.4
KY,"Boone County, KY","68,948","2,424",3.4
KY,"Bourbon County, KY","9,441",372,3.8
KY,"Boyd County, KY","16,869","1,013",5.7
KY,"Boyle County, KY","11,999",587,4.7
KY,"Bracken County, KY","3,656",187,4.9
KY,"Breathitt County, KY","3,231",262,7.5
KY,"Breckinridge County, KY","7,523",423,5.3
KY,"Bullitt County, KY","41,294","1,774",4.1
KY,"Butler County, KY","4,886",247,4.8
KY,"Caldwell County, KY","5,200",273,5
KY,"Calloway County, KY","18,032",767,4.1
KY,"Campbell County, KY","49,301","1,782",3.5
KY,"Carlisle County, KY","2,142",93,4.2
KY,"Carroll County, KY","5,117",212,4
KY,"Carter County, KY","8,971",812,8.3
KY,"Casey County, KY","6,424",280,4.2
KY,"Christian County, KY","23,683","1,402",5.6
KY,"Clark County, KY","16,576",679,3.9
KY,"Clay County, KY","4,831",365,7
KY,"Clinton County, KY","3,788",221,5.5
KY,"Crittenden County, KY","3,625",185,4.9
KY,"Cumberland County, KY","3,051",134,4.2
KY,"Daviess County, KY","45,730","1,837",3.9
KY,"Edmonson County, KY","4,602",239,4.9
KY,"Elliott County, KY","1,873",168,8.2
KY,"Estill County, KY","5,120",268,5
KY,"Fayette County, KY","170,028","5,836",3.3
KY,"Fleming County, KY","5,866",334,5.4
KY,"Floyd County, KY","10,340",708,6.4
KY,"Franklin County, KY","24,392",941,3.7
KY,"Fulton County, KY","1,941",117,5.7
KY,"Gallatin County, KY","3,945",164,4
KY,"Garrard County, KY","7,352",358,4.6
KY,"Grant County, KY","11,307",488,4.1
KY,"Graves County, KY","15,122",727,4.6
KY,"Grayson County, KY","10,477",552,5
KY,"Green County, KY","4,901",224,4.4
KY,"Greenup County, KY","12,560",884,6.6
KY,"Hancock County, KY","3,841",153,3.8
KY,"Hardin County, KY","47,280","2,025",4.1
KY,"Harlan County, KY","6,072",645,9.6
KY,"Harrison County, KY","8,457",379,4.3
KY,"Hart County, KY","7,582",378,4.7
KY,"Henderson County, KY","21,270",846,3.8
KY,"Henry County, KY","7,970",303,3.7
KY,"Hickman County, KY","1,690",86,4.8
KY,"Hopkins County, KY","17,714",848,4.6
KY,"Jackson County, KY","3,865",267,6.5
KY,"Jefferson County, KY","386,373","16,145",4
KY,"Jessamine County, KY","25,695",971,3.6
KY,"Johnson County, KY","6,324",447,6.6
KY,"Kenton County, KY","85,189","3,137",3.6
KY,"Knott County, KY","4,189",310,6.9
KY,"Knox County, KY","9,351",595,6
KY,"Larue County, KY","5,737",271,4.5
KY,"Laurel County, KY","23,483","1,209",4.9
KY,"Lawrence County, KY","4,833",367,7.1
KY,"Lee County, KY","1,947",117,5.7
KY,"Leslie County, KY","2,481",223,8.2
KY,"Letcher County, KY","5,862",471,7.4
KY,"Lewis County, KY","4,241",413,8.9
KY,"Lincoln County, KY","8,877",472,5
KY,"Livingston County, KY","3,459",210,5.7
KY,"Logan County, KY","12,112",509,4
KY,"Lyon County, KY","2,973",146,4.7
KY,"McCracken County, KY","27,819","1,439",4.9
KY,"McCreary County, KY","4,418",284,6
KY,"McLean County, KY","4,046",187,4.4
KY,"Madison County, KY","45,743","1,832",3.9
KY,"Magoffin County, KY","2,790",346,11
KY,"Marion County, KY","9,368",376,3.9
KY,"Marshall County, KY","14,433",705,4.7
KY,"Martin County, KY","2,582",190,6.9
KY,"Mason County, KY","6,723",411,5.8
KY,"Meade County, KY","11,775",570,4.6
KY,"Menifee County, KY","2,165",161,6.9
KY,"Mercer County, KY","9,602",468,4.6
KY,"Metcalfe County, KY","3,909",197,4.8
KY,"Monroe County, KY","4,516",184,3.9
KY,"Montgomery County, KY","11,084",621,5.3
KY,"Morgan County, KY","4,342",246,5.4
KY,"Muhlenberg County, KY","9,890",651,6.2
KY,"Nelson County, KY","22,217","1,059",4.5
KY,"Nicholas County, KY","3,149",146,4.4
KY,"Ohio County, KY","9,326",501,5.1
KY,"Oldham County, KY","32,403","1,098",3.3
KY,"Owen County, KY","4,902",236,4.6
KY,"Owsley County, KY","1,055",80,7
KY,"Pendleton County, KY","6,754",267,3.8
KY,"Perry County, KY","7,792",502,6.1
KY,"Pike County, KY","18,819","1,158",5.8
KY,"Powell County, KY","4,775",271,5.4
KY,"Pulaski County, KY","25,493","1,252",4.7
KY,"Robertson County, KY",775,44,5.4
KY,"Rockcastle County, KY","6,397",321,4.8
KY,"Rowan County, KY","9,904",552,5.3
KY,"Russell County, KY","5,894",357,5.7
KY,"Scott County, KY","28,256","1,025",3.5
KY,"Shelby County, KY","24,781",876,3.4
KY,"Simpson County, KY","8,538",405,4.5
KY,"Spencer County, KY","9,903",365,3.6
KY,"Taylor County, KY","12,212",545,4.3
KY,"Todd County, KY","5,232",215,3.9
KY,"Trigg County, KY","5,741",283,4.7
KY,"Trimble County, KY","3,732",170,4.4
KY,"Union County, KY","5,863",276,4.5
KY,"Warren County, KY","62,844","2,544",3.9
KY,"Washington County, KY","6,022",245,3.9
KY,"Wayne County, KY","7,033",432,5.8
KY,"Webster County, KY","5,556",234,4
KY,"Whitley County, KY","13,029",708,5.2
KY,"Wolfe County, KY","1,828",140,7.1
KY,"Woodford County, KY","14,481",468,3.1
LA,Louisiana,"1,994,285","101,167",4.8
LA,"Acadia Parish, LA","22,572","1,269",5.3
LA,"Allen Parish, LA","8,312",499,5.7
LA,"Ascension Parish, LA","61,318","2,635",4.1
LA,"Assumption Parish, LA","8,335",542,6.1
LA,"Avoyelles Parish, LA","14,226",883,5.8
LA,"Beauregard Parish, LA","13,849",757,5.2
LA,"Bienville Parish, LA","5,190",326,5.9
LA,"Bossier Parish, LA","55,129","2,475",4.3
LA,"Caddo Parish, LA","97,859","5,546",5.4
LA,"Calcasieu Parish, LA","101,802","4,338",4.1
LA,"Caldwell Parish, LA","3,544",229,6.1
LA,"Cameron Parish, LA","3,789",148,3.8
LA,"Catahoula Parish, LA","3,162",217,6.4
LA,"Claiborne Parish, LA","5,506",331,5.7
LA,"Concordia Parish, LA","6,566",453,6.5
LA,"De Soto Parish, LA","10,201",652,6
LA,"East Baton Rouge Parish, LA","220,337","10,156",4.4
LA,"East Carroll Parish, LA","1,688",200,10.6
LA,"East Feliciana Parish, LA","7,606",367,4.6
LA,"Evangeline Parish, LA","11,186",703,5.9
LA,"Franklin Parish, LA","6,834",529,7.2
LA,"Grant Parish, LA","7,696",475,5.8
LA,"Iberia Parish, LA","26,574","1,525",5.4
LA,"Iberville Parish, LA","13,207",833,5.9
LA,"Jackson Parish, LA","6,480",322,4.7
LA,"Jefferson Parish, LA","204,775","8,929",4.2
LA,"Jefferson Davis Parish, LA","12,607",624,4.7
LA,"Lafayette Parish, LA","108,685","4,922",4.3
LA,"Lafourche Parish, LA","40,124","1,884",4.5
LA,"LaSalle Parish, LA","6,429",286,4.3
LA,"Lincoln Parish, LA","20,780","1,179",5.4
LA,"Livingston Parish, LA","65,912","2,801",4.1
LA,"Madison Parish, LA","3,232",283,8.1
LA,"Morehouse Parish, LA","9,166",833,8.3
LA,"Natchitoches Parish, LA","15,356",987,6
LA,"Orleans Parish, LA","170,121","8,713",4.9
LA,"Ouachita Parish, LA","66,346","3,736",5.3
LA,"Plaquemines Parish, LA","9,620",433,4.3
LA,"Pointe Coupee Parish, LA","9,339",528,5.4
LA,"Rapides Parish, LA","52,258","2,804",5.1
