Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
IN,Rush County,"1,785",11
IN,St. Joseph County,"39,848",15.3
IN,Scott County,"3,194",13.6
IN,Shelby County,"4,414",10.1
IN,Spencer County,"1,728",8.7
IN,Starke County,"3,046",13.3
IN,Steuben County,"2,846",8.6
IN,Sullivan County,"2,643",14.4
IN,Switzerland County,"1,529",14.5
IN,Tippecanoe County,"28,780",16.1
IN,Tipton County,"1,166",7.8
IN,Union County,667,9.6
IN,Vanderburgh County,"25,190",14.4
IN,Vermillion County,"1,859",12.2
IN,Vigo County,"20,241",20.8
IN,Wabash County,"3,163",10.9
IN,Warren County,766,9.4
IN,Warrick County,"3,888",6.3
IN,Washington County,"3,325",12.1
IN,Wayne County,"9,577",15.2
IN,Wells County,"2,041",7.4
IN,White County,"2,429",10.3
IN,Whitley County,"2,559",7.7
IA,Iowa,"337,156",11
IA,Adair County,750,10.7
IA,Adams County,450,12.5
IA,Allamakee County,"1,745",13
IA,Appanoose County,"2,373",19.3
IA,Audubon County,587,10.9
IA,Benton County,"1,964",7.8
IA,Black Hawk County,"17,407",13.7
IA,Boone County,"2,227",8.7
IA,Bremer County,"1,581",6.7
IA,Buchanan County,"1,984",9.5
IA,Buena Vista County,"1,903",10.2
IA,Butler County,"1,492",10.5
IA,Calhoun County,"1,032",11.5
IA,Carroll County,"1,631",8.2
IA,Cass County,"1,798",14.3
IA,Cedar County,"1,433",7.8
IA,Cerro Gordo County,"3,504",8.5
IA,Cherokee County,"1,105",10.2
IA,Chickasaw County,"1,012",8.5
IA,Clarke County,"1,078",11.7
IA,Clay County,"1,627",10.3
IA,Clayton County,"1,910",11
IA,Clinton County,"6,009",13.1
IA,Crawford County,"2,074",12.5
IA,Dallas County,"3,956",4.3
IA,Davis County,"1,021",11.5
IA,Decatur County,"1,309",18.3
IA,Delaware County,"1,450",8.6
IA,Des Moines County,"5,703",14.9
IA,Dickinson County,"1,192",7
IA,Dubuque County,"10,030",10.7
IA,Emmet County,999,11.4
IA,Fayette County,"2,489",13.2
IA,Floyd County,"1,802",11.7
IA,Franklin County,"1,105",11.2
IA,Fremont County,789,11.6
IA,Greene County,986,11.2
IA,Grundy County,659,5.5
IA,Guthrie County,929,8.8
IA,Hamilton County,"1,320",9.1
IA,Hancock County,945,9
IA,Hardin County,"1,689",10.6
IA,Harrison County,"1,206",8.7
IA,Henry County,"2,142",11.7
IA,Howard County,865,9.6
IA,Humboldt County,"1,010",10.8
IA,Ida County,704,10.5
IA,Iowa County,"1,056",6.7
IA,Jackson County,"2,362",12.3
IA,Jasper County,"2,968",8.4
IA,Jefferson County,"2,386",14.2
IA,Johnson County,"22,937",16
IA,Jones County,"1,844",9.5
IA,Keokuk County,"1,150",11.4
IA,Kossuth County,"1,506",10.3
IA,Lee County,"4,859",15
IA,Linn County,"24,600",11.1
IA,Louisa County,999,9.2
IA,Lucas County,"1,263",14.9
IA,Lyon County,858,7.4
IA,Madison County,"1,114",6.9
IA,Mahaska County,"2,316",10.8
IA,Marion County,"2,636",8.2
IA,Marshall County,"4,947",13
IA,Mills County,"1,283",8.8
IA,Mitchell County,961,9.3
IA,Monona County,"1,028",12.3
IA,Monroe County,811,10.7
IA,Montgomery County,"1,279",13.2
IA,Muscatine County,"4,249",10.1
IA,O'Brien County,"1,365",10.1
IA,Osceola County,544,9.3
IA,Page County,"2,020",14.9
IA,Palo Alto County,952,11.1
IA,Plymouth County,"1,796",7.2
IA,Pocahontas County,654,10.1
IA,Polk County,"48,468",10.1
IA,Pottawattamie County,"10,002",11
IA,Poweshiek County,"1,951",11.6
IA,Ringgold County,713,15.1
IA,Sac County,903,9.5
IA,Scott County,"20,016",11.8
IA,Shelby County,970,8.7
IA,Sioux County,"2,272",7
IA,Story County,"13,727",15.8
IA,Tama County,"2,168",13.1
IA,Taylor County,753,12.5
IA,Union County,"1,433",12.1
IA,Van Buren County,895,12.8
IA,Wapello County,"4,842",14.2
IA,Warren County,"3,621",7.3
IA,Washington County,"1,971",9.1
IA,Wayne County,"1,211",19.1
IA,Webster County,"4,005",12.1
IA,Winnebago County,"1,011",10.2
IA,Winneshiek County,"1,549",8.6
IA,Woodbury County,"12,882",12.8
IA,Worth County,711,9.8
IA,Wright County,"1,364",11
KS,Kansas,"319,931",11.3
KS,Allen County,"2,067",17.3
KS,Anderson County,982,12.7
KS,Atchison County,"2,051",13.8
KS,Barber County,593,13.6
KS,Barton County,"3,345",13.4
KS,Bourbon County,"2,185",15.6
KS,Brown County,"1,454",15.4
KS,Butler County,"5,460",8.5
KS,Chase County,285,11.4
KS,Chautauqua County,518,16.4
KS,Cherokee County,"3,016",15.4
KS,Cheyenne County,301,11.6
KS,Clark County,238,12.4
KS,Clay County,780,10
KS,Cloud County,"1,123",13.5
KS,Coffey County,903,11.2
KS,Comanche County,187,11.6
KS,Cowley County,"4,416",13.5
KS,Crawford County,"6,828",18.5
KS,Decatur County,361,13.2
KS,Dickinson County,"1,764",9.8
KS,Doniphan County,810,11.4
KS,Douglas County,"17,127",15.1
KS,Edwards County,322,11.7
KS,Elk County,481,19.4
KS,Ellis County,"3,596",13.1
KS,Ellsworth County,490,9.6
KS,Finney County,"4,647",13
KS,Ford County,"4,522",13.8
KS,Franklin County,"2,594",10.4
KS,Geary County,"3,586",11.7
KS,Gove County,246,9.6
KS,Graham County,288,11.8
KS,Grant County,743,10.5
KS,Gray County,448,7.6
KS,Greeley County,131,10.9
KS,Greenwood County,873,14.9
KS,Hamilton County,332,13.1
KS,Harper County,751,14.2
KS,Harvey County,"3,058",9.3
KS,Haskell County,379,9.7
KS,Hodgeman County,184,10.4
KS,Jackson County,"1,410",10.9
KS,Jefferson County,"1,456",7.8
KS,Jewell County,369,13
KS,Johnson County,"31,666",5.3
KS,Kearny County,389,10.4
KS,Kingman County,783,11.3
KS,Kiowa County,281,12.1
KS,Labette County,"3,027",15.8
KS,Lane County,157,10.3
KS,Leavenworth County,"6,255",8.3
KS,Lincoln County,350,12.1
KS,Linn County,"1,148",12
KS,Logan County,274,10
KS,Lyon County,"4,790",15.1
KS,McPherson County,"1,991",7.2
KS,Marion County,"1,191",10.7
KS,Marshall County,896,9.4
KS,Meade County,380,9.7
KS,Miami County,"2,294",6.8
KS,Mitchell County,630,11.1
KS,Montgomery County,"4,807",15.7
KS,Morris County,582,10.5
KS,Morton County,292,11.7
KS,Nemaha County,872,8.8
KS,Neosho County,"2,426",15.7
KS,Ness County,283,10.6
KS,Norton County,527,11.6
KS,Osage County,"2,231",14.2
KS,Osborne County,445,13.5
KS,Ottawa County,553,9.9
KS,Pawnee County,755,14
KS,Phillips County,565,11
KS,Pottawatomie County,"1,735",7.2
KS,Pratt County,981,11.2
KS,Rawlins County,352,14.2
KS,Reno County,"7,882",13.4
KS,Republic County,553,12.2
KS,Rice County,"1,042",11.8
KS,Riley County,"13,334",20.9
KS,Rooks County,509,10.5
KS,Rush County,362,12.2
KS,Russell County,974,14.4
KS,Saline County,"6,514",12.3
KS,Scott County,372,7.9
KS,Sedgwick County,"64,061",12.6
KS,Seward County,"2,969",14.2
KS,Shawnee County,"16,817",9.8
KS,Sheridan County,294,11.8
KS,Sherman County,725,12.5
KS,Smith County,407,11.6
KS,Stafford County,559,13.7
KS,Stanton County,206,10.6
KS,Stevens County,524,9.7
KS,Sumner County,"2,542",11.4
KS,Thomas County,670,9.1
KS,Trego County,295,10.8
KS,Wabaunsee County,472,6.9
KS,Wallace County,181,12.1
KS,Washington County,502,9.5
KS,Wichita County,230,11
KS,Wilson County,"1,110",13.3
KS,Woodson County,440,14.3
KS,Wyandotte County,"33,777",20.6
KY,Kentucky,"692,875",16
KY,Adair County,"3,832",21.4
KY,Allen County,"3,543",16.8
KY,Anderson County,"2,294",10.2
KY,Ballard County,"1,195",15.5
KY,Barren County,"8,697",20.1
KY,Bath County,"2,397",19.4
KY,Bell County,"7,569",30.3
KY,Boone County,"9,435",7.1
KY,Bourbon County,"2,736",14.1
KY,Boyd County,"9,186",20.6
KY,Boyle County,"4,119",15.5
KY,Bracken County,"1,156",14.1
KY,Breathitt County,"3,609",29.2
KY,Breckinridge County,"3,675",18.3
KY,Bullitt County,"6,294",7.8
KY,Butler County,"2,261",18
KY,Caldwell County,"1,982",15.8
KY,Calloway County,"5,875",16.5
KY,Campbell County,"9,833",10.9
KY,Carlisle County,725,15.5
KY,Carroll County,"1,569",15.2
KY,Carter County,"5,207",20
KY,Casey County,"3,938",25.2
KY,Christian County,"12,219",18.9
KY,Clark County,"4,627",13
KY,Clay County,"5,905",32.6
KY,Clinton County,"2,353",23.4
KY,Crittenden County,"1,646",19.2
KY,Cumberland County,"1,492",23
KY,Daviess County,"15,213",15.4
KY,Edmonson County,"1,925",16
KY,Elliott County,"1,775",27.7
KY,Estill County,"3,161",22.7
KY,Fayette County,"47,657",15.4
KY,Fleming County,"3,065",21.1
KY,Floyd County,"9,632",27.4
KY,Franklin County,"5,680",11.5
KY,Fulton County,"1,412",25.6
KY,Gallatin County,"1,167",13.3
KY,Garrard County,"2,741",15.7
KY,Grant County,"3,256",13.3
KY,Graves County,"6,551",17.9
KY,Grayson County,"5,175",20.3
KY,Green County,"2,010",18.6
KY,Greenup County,"5,490",15.9
KY,Hancock County,"1,055",12.2
KY,Hardin County,"11,476",10.7
KY,Harlan County,"7,918",31.1
KY,Harrison County,"2,845",15.3
KY,Hart County,"3,767",20.1
KY,Henderson County,"7,172",16.3
KY,Henry County,"2,337",14.7
KY,Hickman County,703,16.9
KY,Hopkins County,"7,829",18.1
KY,Jackson County,"3,655",27.8
KY,Jefferson County,"106,552",14.2
KY,Jessamine County,"5,744",11
KY,Johnson County,"5,575",25.8
KY,Kenton County,"18,352",11.2
KY,Knott County,"4,291",30.5
KY,Knox County,"9,538",31.5
KY,Larue County,"2,160",15.4
KY,Laurel County,"12,793",21.4
KY,Lawrence County,"3,546",23.4
KY,Lee County,"2,220",34.9
KY,Leslie County,"3,106",32.3
KY,Letcher County,"6,158",28.9
KY,Lewis County,"3,036",23.2
KY,Lincoln County,"4,770",19.7
KY,Livingston County,"1,110",12.2
KY,Logan County,"4,080",15.3
KY,Lyon County,"1,015",14.5
KY,McCracken County,"9,947",15.5
KY,McCreary County,"5,319",34.5
KY,McLean County,"1,268",14
KY,Madison County,"15,284",17.7
KY,Magoffin County,"3,528",29.4
KY,Marion County,"3,148",16.8
KY,Marshall County,"3,596",11.8
KY,Martin County,"3,353",34.4
KY,Mason County,"2,619",15.7
KY,Meade County,"3,206",11.4
KY,Menifee County,"1,661",26.1
KY,Mercer County,"2,990",13.8
KY,Metcalfe County,"2,241",22.6
KY,Monroe County,"2,263",21.7
KY,Montgomery County,"4,373",15.8
KY,Morgan County,"2,997",26.5
KY,Muhlenberg County,"5,425",18.8
KY,Nelson County,"4,773",10.5
KY,Nicholas County,"1,236",17.3
KY,Ohio County,"3,672",15.6
KY,Oldham County,"3,070",4.9
KY,Owen County,"1,703",15.7
KY,Owsley County,"1,528",35.5
KY,Pendleton County,"1,791",12.4
KY,Perry County,"6,080",24.2
KY,Pike County,"13,523",24
KY,Powell County,"2,593",21.5
KY,Pulaski County,"14,392",22.5
KY,Robertson County,450,22
KY,Rockcastle County,"3,425",21
KY,Rowan County,"4,976",23.3
KY,Russell County,"3,990",22.6
KY,Scott County,"4,795",8.6
KY,Shelby County,"4,449",9.4
KY,Simpson County,"2,264",12.5
KY,Spencer County,"1,403",7.3
KY,Taylor County,"3,997",16.4
KY,Todd County,"2,060",17.1
KY,Trigg County,"2,119",14.6
KY,Trimble County,996,11.9
KY,Union County,"2,455",17.3
KY,Warren County,"19,308",15.4
KY,Washington County,"1,723",14.4
KY,Wayne County,"4,736",23.8
KY,Webster County,"2,032",16.3
KY,Whitley County,"7,763",22.6
KY,Wolfe County,"2,108",30.1
KY,Woodford County,"2,162",8.3
LA,Louisiana,"847,739",18.8
LA,Acadia Parish,"12,365",20.3
LA,Allen Parish,"4,610",21.6
LA,Ascension Parish,"12,011",9.6
LA,Assumption Parish,"4,071",18.8
LA,Avoyelles Parish,"8,980",24.4
LA,Beauregard Parish,"5,167",14.3
LA,Bienville Parish,"3,137",24.4
LA,Bossier Parish,"20,339",16.4
LA,Caddo Parish,"56,480",24.1
LA,Calcasieu Parish,"37,742",18.9
LA,Caldwell Parish,"1,818",19.5
LA,Cameron Parish,949,13.7
LA,Catahoula Parish,"2,275",26.4
LA,Claiborne Parish,"4,135",32.5
LA,Concordia Parish,"4,873",27.5
LA,De Soto Parish,"4,898",18
LA,East Baton Rouge Parish,"76,011",17.7
LA,East Carroll Parish,"2,221",38.4
LA,East Feliciana Parish,"3,130",18.7
LA,Evangeline Parish,"9,115",28.6
LA,Franklin Parish,"4,990",25.8
LA,Grant Parish,"3,610",18.6
LA,Iberia Parish,"15,059",21.9
LA,Iberville Parish,"5,370",18.7
LA,Jackson Parish,"2,827",19.2
LA,Jefferson Parish,"62,709",14.6
LA,Jefferson Davis Parish,"5,877",19.1
LA,Lafayette Parish,"39,646",16.6
LA,Lafourche Parish,"16,755",17.5
LA,La Salle Parish,"2,300",16.9
LA,Lincoln Parish,"12,361",29.5
LA,Livingston Parish,"16,700",12
LA,Madison Parish,"3,855",41.1
LA,Morehouse Parish,"7,449",31
LA,Natchitoches Parish,"7,047",19.6
LA,Orleans Parish,"88,917",23.5
LA,Ouachita Parish,"35,315",23.9
LA,Plaquemines Parish,"3,450",15.1
LA,Pointe Coupee Parish,"4,312",20
LA,Rapides Parish,"23,052",18.3
LA,Red River Parish,"1,970",23.9
LA,Richland Parish,"4,810",25.1
LA,Sabine Parish,"4,296",18.4
LA,St. Bernard Parish,"8,967",19.2
LA,St. Charles Parish,"5,824",11.1
LA,St. Helena Parish,"1,952",19.6
LA,St. James Parish,"3,455",16.6
LA,St. John the Baptist Parish,"6,780",16
LA,St. Landry Parish,"18,256",22.6
LA,St. Martin Parish,"9,811",18.7
LA,St. Mary Parish,"11,532",23.8
LA,St. Tammany Parish,"29,707",11.5
LA,Tangipahoa Parish,"28,408",21.7
LA,Tensas Parish,"1,247",28.9
LA,Terrebonne Parish,"20,691",19
LA,Union Parish,"4,187",19.4
LA,Vermilion Parish,"10,017",17
LA,Vernon Parish,"6,850",15.3
LA,Washington Parish,"11,062",24.9
LA,Webster Parish,"10,967",29.6
LA,West Baton Rouge Parish,"3,734",14.4
LA,West Carroll Parish,"2,177",21
LA,West Feliciana Parish,"2,261",22.1
LA,Winn Parish,"2,852",23.4
ME,Maine,"141,566",10.9
ME,Androscoggin County,"10,871",10.4
ME,Aroostook County,"10,052",15.5
ME,Cumberland County,"22,333",7.8
ME,Franklin County,"3,653",12.6
ME,Hancock County,"5,695",10.6
ME,Kennebec County,"13,605",11.5
ME,Knox County,"4,174",10.9
ME,Lincoln County,"3,727",11
ME,Oxford County,"7,414",13
ME,Penobscot County,"17,894",12.4
ME,Piscataquis County,"2,717",16.5
ME,Sagadahoc County,"3,054",8.6
ME,Somerset County,"9,059",18.3
ME,Waldo County,"5,318",13.7
ME,Washington County,"6,009",19.6
ME,York County,"15,990",7.9
MD,Maryland,"537,717",9.1
MD,Allegany County,"10,038",16
MD,Anne Arundel County,"32,641",5.8
MD,Baltimore County,"71,496",8.9
MD,Calvert County,"5,216",5.7
MD,Caroline County,"3,990",12.1
MD,Carroll County,"8,359",5.1
MD,Cecil County,"10,469",10.3
MD,Charles County,"10,268",6.4
MD,Dorchester County,"5,160",16.4
MD,Frederick County,"14,538",5.7
MD,Garrett County,"3,644",12.8
MD,Harford County,"16,851",6.7
MD,Howard County,"16,216",5
MD,Kent County,"2,242",12.4
MD,Montgomery County,"75,836",7.3
MD,Prince George's County,"76,853",8.7
MD,Queen Anne's County,"2,967",6
MD,St. Mary's County,"8,494",7.7
MD,Somerset County,"4,775",23.6
MD,Talbot County,"3,210",8.7
MD,Washington County,"17,545",12.3
MD,Wicomico County,"15,845",16
MD,Worcester County,"5,103",9.9
MD,Baltimore city,"115,961",20.4
MA,Massachusetts,"631,551",9.5
MA,Barnstable County,"13,595",6.5
MA,Berkshire County,"13,321",11.2
MA,Bristol County,"62,413",11.3
MA,Dukes County,"1,249",7.3
MA,Essex County,"68,255",8.8
MA,Franklin County,"6,403",9.3
MA,Hampden County,"62,331",13.8
MA,Hampshire County,"15,342",11.1
MA,Middlesex County,"108,177",6.9
MA,Nantucket County,620,5.5
MA,Norfolk County,"40,148",5.8
MA,Plymouth County,"37,885",7.4
MA,Suffolk County,"126,266",16.7
MA,Worcester County,"75,546",9.4
MI,Michigan,"1,264,445",12.9
MI,Alcona County,"1,846",18
MI,Alger County,"1,020",12.6
MI,Allegan County,"12,648",10.8
MI,Alpena County,"3,894",13.9
MI,Antrim County,"2,216",9.6
MI,Arenac County,"2,528",17.2
MI,Baraga County,984,13.7
MI,Barry County,"4,749",7.8
MI,Bay County,"13,645",13.4
MI,Benzie County,"1,685",9.6
MI,Berrien County,"23,806",15.9
MI,Branch County,"5,462",13.2
MI,Calhoun County,"18,085",13.9
MI,Cass County,"7,558",14.8
MI,Charlevoix County,"2,510",9.7
MI,Cheboygan County,"3,716",14.9
MI,Chippewa County,"5,966",18.3
MI,Clare County,"5,982",19.6
MI,Clinton County,"6,164",7.8
MI,Crawford County,"1,933",14
MI,Delta County,"4,844",13.8
MI,Dickinson County,"2,457",9.9
MI,Eaton County,"8,093",7.5
MI,Emmet County,"3,029",9.2
MI,Genesee County,"66,557",16.6
MI,Gladwin County,"3,401",13.5
MI,Gogebic County,"2,325",17.1
MI,Grand Traverse County,"6,638",7.2
MI,Gratiot County,"5,035",14.3
MI,Hillsdale County,"6,771",15.3
MI,Houghton County,"4,828",14.7
MI,Huron County,"4,190",13.7
MI,Ingham County,"47,655",17.3
MI,Ionia County,"6,792",11.5
MI,Iosco County,"3,495",14.2
MI,Iron County,"1,473",13.7
MI,Isabella County,"14,755",22.9
MI,Jackson County,"20,500",13.7
MI,Kalamazoo County,"34,247",13.3
MI,Kalkaska County,"2,478",13.9
MI,Kent County,"72,323",11.2
MI,Keweenaw County,217,10.3
MI,Lake County,"2,342",20.2
MI,Lapeer County,"8,674",10.1
MI,Leelanau County,"1,541",7.1
MI,Lenawee County,"11,037",11.8
MI,Livingston County,"8,415",4.4
MI,Luce County,969,19.2
MI,Mackinac County,"1,507",14.1
MI,Macomb County,"74,273",8.6
MI,Manistee County,"2,862",12.3
MI,Marquette County,"7,321",11.8
MI,Mason County,"3,992",13.9
MI,Mecosta County,"7,976",19.9
MI,Menominee County,"3,029",13.5
MI,Midland County,"7,920",9.7
MI,Missaukee County,"1,633",10.9
MI,Monroe County,"15,223",10.2
MI,Montcalm County,"7,559",12.4
MI,Montmorency County,"1,321",14.4
MI,Muskegon County,"22,745",13.5
MI,Newaygo County,"7,576",15.7
MI,Oakland County,"96,558",7.8
MI,Oceana County,"3,880",14.8
MI,Ogemaw County,"3,768",18.2
MI,Ontonagon County,755,13.3
MI,Osceola County,"3,376",14.6
MI,Oscoda County,"1,258",15.4
MI,Otsego County,"2,429",10
MI,Ottawa County,"22,048",7.8
MI,Presque Isle County,"1,344",10.8
MI,Roscommon County,"3,636",15.3
MI,Saginaw County,"34,239",18.6
MI,St. Clair County,"16,375",10.4
MI,St. Joseph County,"7,779",12.9
MI,Sanilac County,"5,528",13.6
MI,Schoolcraft County,"1,138",14.3
MI,Shiawassee County,"7,344",10.9
MI,Tuscola County,"5,948",11.6
MI,Van Buren County,"9,697",13
MI,Washtenaw County,"44,991",13
MI,Wayne County,"341,821",19.8
MI,Wexford County,"4,118",12.4
MN,Minnesota,"491,782",8.9
MN,Aitkin County,"1,947",12.5
MN,Anoka County,"21,793",6.2
MN,Becker County,"3,447",10.2
MN,Beltrami County,"7,357",16.3
MN,Benton County,"3,465",8.6
MN,Big Stone County,533,11
MN,Blue Earth County,"9,729",15.2
MN,Brown County,"1,763",7.4
MN,Carlton County,"3,114",9.1
MN,Carver County,"4,492",4.3
MN,Cass County,"3,359",11.4
MN,Chippewa County,"1,210",10.4
MN,Chisago County,"3,403",6.2
MN,Clay County,"7,283",11.9
MN,Clearwater County,"1,002",11.5
MN,Cook County,484,8.9
MN,Cottonwood County,"1,182",10.8
MN,Crow Wing County,"6,749",10.5
MN,Dakota County,"26,714",6.3
MN,Dodge County,"1,159",5.6
MN,Douglas County,"2,375",6.3
MN,Faribault County,"1,615",12.2
MN,Fillmore County,"1,940",9.4
MN,Freeborn County,"2,858",9.6
MN,Goodhue County,"3,248",7.1
MN,Grant County,519,8.8
MN,Hennepin County,"120,032",9.7
MN,Houston County,"1,430",7.8
MN,Hubbard County,"2,386",11.2
MN,Isanti County,"2,761",6.9
MN,Itasca County,"4,946",11.2
MN,Jackson County,953,9.8
MN,Kanabec County,"1,632",10.1
MN,Kandiyohi County,"4,136",9.8
MN,Kittson County,386,9.2
MN,Koochiching County,"1,559",13
MN,Lac qui Parle County,614,9.5
MN,Lake County,945,9
MN,Lake of the Woods County,337,9.2
MN,Le Sueur County,"2,027",7.1
MN,Lincoln County,556,10.1
MN,Lyon County,"2,609",10.6
MN,McLeod County,"2,224",6.3
MN,Mahnomen County,"1,158",21.3
MN,Marshall County,691,7.5
MN,Martin County,"2,041",10.5
MN,Meeker County,"1,807",7.9
MN,Mille Lacs County,"2,914",11.4
MN,Morrison County,"2,944",8.9
MN,Mower County,"4,539",11.5
MN,Murray County,682,8.5
MN,Nicollet County,"3,146",9.9
MN,Nobles County,"2,334",11
MN,Norman County,647,10.4
MN,Olmsted County,"10,482",6.7
MN,Otter Tail County,"6,331",11
MN,Pennington County,"1,342",9.8
MN,Pine County,"3,219",11.6
MN,Pipestone County,986,11.1
MN,Polk County,"3,266",10.8
MN,Pope County,982,8.9
MN,Ramsey County,"66,340",12.4
MN,Red Lake County,397,9.9
MN,Redwood County,"1,433",9.7
MN,Renville County,"1,418",10
MN,Rice County,"4,919",8.2
MN,Rock County,785,8.7
MN,Roseau County,902,6
MN,St. Louis County,"24,428",12.8
MN,Scott County,"6,157",4.2
MN,Sherburne County,"5,170",5.5
MN,Sibley County,"1,574",10.7
MN,Stearns County,"17,305",11.2
MN,Steele County,"2,262",6.3
MN,Stevens County,"1,061",11.9
MN,Swift County,864,9.5
MN,Todd County,"2,874",11.8
MN,Traverse County,374,11.9
MN,Wabasha County,"1,803",8.4
MN,Wadena County,"1,658",12.5
MN,Waseca County,"1,569",8.9
MN,Washington County,"11,924",4.6
MN,Watonwan County,"1,081",10.1
MN,Wilkin County,551,9.1
MN,Winona County,"5,165",11
MN,Wright County,"7,079",5.2
MN,Yellow Medicine County,910,9.6
MS,Mississippi,"559,764",19.5
MS,Adams County,"7,891",27.9
MS,Alcorn County,"6,251",17.3
MS,Amite County,"2,537",20.9
MS,Attala County,"4,290",24.1
MS,Benton County,"1,685",20.7
MS,Bolivar County,"10,665",36.6
MS,Calhoun County,"2,428",17.2
MS,Carroll County,"1,641",17.2
MS,Chickasaw County,"3,755",22.7
MS,Choctaw County,"1,693",20.9
MS,Claiborne County,"2,875",37.5
MS,Clarke County,"3,573",23.2
MS,Clay County,"5,635",29.7
MS,Coahoma County,"8,210",38.2
MS,Copiah County,"6,082",22.1
MS,Covington County,"3,897",21.3
MS,DeSoto County,"17,313",9.4
MS,Forrest County,"16,776",23.3
MS,Franklin County,"1,496",19.6
MS,George County,"3,961",16.6
MS,Greene County,"2,389",21.8
MS,Grenada County,"4,162",20.3
MS,Hancock County,"7,869",16.7
MS,Harrison County,"35,341",17.5
MS,Hinds County,"44,973",20.1
MS,Holmes County,"5,447",33.8
MS,Humphreys County,"2,949",37.1
MS,Issaquena County,353,35.8
MS,Itawamba County,"2,868",12.8
MS,Jackson County,"21,371",15.1
MS,Jasper County,"3,333",20.5
MS,Jefferson County,"1,910",28.9
MS,Jefferson Davis County,"2,676",24.3
MS,Jones County,"15,816",23.8
MS,Kemper County,"2,430",28
MS,Lafayette County,"8,642",17.5
MS,Lamar County,"10,059",16
MS,Lauderdale County,"15,208",21.5
MS,Lawrence County,"2,466",19.7
MS,Leake County,"5,007",23.8
MS,Lee County,"12,271",14.6
MS,Leflore County,"9,631",35.7
MS,Lincoln County,"6,564",19.6
MS,Lowndes County,"9,836",17.2
MS,Madison County,"10,541",10.1
MS,Marion County,"5,661",23.8
MS,Marshall County,"6,777",20.3
MS,Monroe County,"6,211",17.9
MS,Montgomery County,"2,285",23.7
MS,Neshoba County,"6,228",21.7
MS,Newton County,"4,163",20.3
MS,Noxubee County,"2,989",29.2
MS,Oktibbeha County,"14,067",31.1
MS,Panola County,"7,738",22.8
MS,Pearl River County,"9,767",18.1
MS,Perry County,"2,358",19.9
MS,Pike County,"10,040",26.2
MS,Pontotoc County,"5,041",15.9
MS,Prentiss County,"3,814",15.7
MS,Quitman County,"2,322",35
MS,Rankin County,"16,526",11.1
MS,Scott County,"5,485",19.7
MS,Sharkey County,"1,415",33.4
MS,Simpson County,"4,656",17.8
MS,Smith County,"2,988",18.9
MS,Stone County,"3,144",18.5
MS,Sunflower County,"7,156",34
MS,Tallahatchie County,"4,304",37.9
MS,Tate County,"4,114",15.1
MS,Tippah County,"3,500",16.2
MS,Tishomingo County,"3,242",17
MS,Tunica County,"2,666",28.1
MS,Union County,"3,694",13
MS,Walthall County,"3,063",21.7
MS,Warren County,"9,016",20.1
MS,Washington County,"14,550",33.7
MS,Wayne County,"4,447",22.2
MS,Webster County,"1,631",17
MS,Wilkinson County,"2,340",31.2
MS,Winston County,"4,441",25.4
MS,Yalobusha County,"2,906",24.4
MS,Yazoo County,"8,253",36.4
MO,Missouri,"766,238",12.9
MO,Adair County,"4,308",19.2
MO,Andrew County,"1,559",8.9
MO,Atchison County,648,12.9
MO,Audrain County,"3,797",16.3
MO,Barry County,"6,569",18.6
MO,Barton County,"1,737",15
MO,Bates County,"2,674",16.9
MO,Benton County,"3,208",16.7
MO,Bollinger County,"1,734",14.5
MO,Boone County,"29,399",17.2
MO,Buchanan County,"13,094",15.8
MO,Butler County,"9,362",22.5
MO,Caldwell County,"1,197",13.6
MO,Callaway County,"4,735",11.6
MO,Camden County,"6,149",13.5
MO,Cape Girardeau County,"10,909",14.6
MO,Carroll County,"1,183",13.8
MO,Carter County,"1,176",19.8
MO,Cass County,"8,226",7.9
MO,Cedar County,"2,529",17.9
MO,Chariton County,901,12.5
MO,Christian County,"9,091",10.4
MO,Clark County,943,14.2
MO,Clay County,"22,470",9.1
MO,Clinton County,"1,968",9.9
MO,Cole County,"7,628",10.6
MO,Cooper County,"1,896",11.8
MO,Crawford County,"3,656",15.6
MO,Dade County,"1,180",15.9
MO,Dallas County,"2,954",17.8
MO,Daviess County,"1,425",17.6
MO,DeKalb County,"1,329",14.6
MO,Dent County,"2,917",19
MO,Douglas County,"2,434",18.7
MO,Dunklin County,"7,569",26.7
MO,Franklin County,"9,546",9.3
MO,Gasconade County,"1,671",11.6
MO,Gentry County,740,11.5
MO,Greene County,"40,634",14.4
MO,Grundy County,"1,774",18.7
MO,Harrison County,"1,266",15.4
MO,Henry County,"3,729",17.3
MO,Hickory County,"1,712",18.2
MO,Holt County,508,11.8
MO,Howard County,"1,205",13
MO,Howell County,"8,213",20.8
MO,Iron County,"2,046",20.8
MO,Jackson County,"94,823",13.7
MO,Jasper County,"22,258",18.8
MO,Jefferson County,"18,767",8.4
MO,Johnson County,"5,724",11.4
MO,Knox County,645,16.7
MO,Laclede County,"5,544",15.8
MO,Lafayette County,"3,430",10.7
MO,Lawrence County,"6,046",16.1
MO,Lewis County,"1,503",16.6
MO,Lincoln County,"5,456",9.4
MO,Linn County,"2,207",18.9
MO,Livingston County,"1,984",15
MO,McDonald County,"4,173",18.5
MO,Macon County,"1,842",12.5
MO,Madison County,"1,982",16.7
