Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
AR,Poinsett County,"5,339",23.1
AR,Polk County,"3,991",20.2
AR,Pope County,"10,218",16.9
AR,Prairie County,"1,190",15
AR,Pulaski County,"56,020",14.6
AR,Randolph County,"3,036",17.3
AR,St. Francis County,"6,679",32
AR,Saline County,"11,665",9.6
AR,Scott County,"1,983",19.6
AR,Searcy County,"1,740",22.4
AR,Sebastian County,"19,923",15.9
AR,Sevier County,"2,962",17.7
AR,Sharp County,"4,007",23.3
AR,Stone County,"2,378",19.3
AR,Union County,"7,216",18.9
AR,Van Buren County,"3,235",19.9
AR,Washington County,"34,731",15.1
AR,White County,"11,613",15.4
AR,Woodruff County,"1,678",27.1
AR,Yell County,"3,265",15.6
CA,California,"4,560,419",11.8
CA,Alameda County,"146,315",8.9
CA,Alpine County,193,17.2
CA,Amador County,"3,462",9.8
CA,Butte County,"34,503",16.1
CA,Calaveras County,"5,477",12.1
CA,Colusa County,"2,554",12
CA,Contra Costa County,"90,482",7.9
CA,Del Norte County,"4,445",17.9
CA,El Dorado County,"16,649",8.7
CA,Fresno County,"200,873",20.5
CA,Glenn County,"3,397",12.1
CA,Humboldt County,"25,136",19.1
CA,Imperial County,"38,020",22
CA,Inyo County,"2,071",11.7
CA,Kern County,"164,817",19
CA,Kings County,"21,840",16
CA,Lake County,"11,622",18.3
CA,Lassen County,"3,789",16.5
CA,Los Angeles County,"1,319,242",13.4
CA,Madera County,"26,309",17.6
CA,Marin County,"17,357",6.9
CA,Mariposa County,"2,565",15.1
CA,Mendocino County,"11,980",14
CA,Merced County,"46,011",17
CA,Modoc County,"1,757",20.5
CA,Mono County,"1,437",10.1
CA,Monterey County,"52,484",12.6
CA,Napa County,"9,897",7.4
CA,Nevada County,"9,268",9.4
CA,Orange County,"297,658",9.5
CA,Placer County,"26,170",6.6
CA,Plumas County,"2,432",13.2
CA,Riverside County,"274,953",11.3
CA,Sacramento County,"192,993",12.6
CA,San Benito County,"6,518",10.4
CA,San Bernardino County,"284,359",13.3
CA,San Diego County,"335,034",10.3
CA,San Francisco County,"82,616",9.5
CA,San Joaquin County,"101,772",13.6
CA,San Luis Obispo County,"31,180",11.6
CA,San Mateo County,"46,328",6.1
CA,Santa Barbara County,"51,298",12
CA,Santa Clara County,"116,401",6.1
CA,Santa Cruz County,"27,531",10.6
CA,Shasta County,"23,508",13.3
CA,Sierra County,375,12.7
CA,Siskiyou County,"7,484",17.4
CA,Solano County,"39,018",9
CA,Sonoma County,"34,758",7.2
CA,Stanislaus County,"70,741",13
CA,Sutter County,"12,310",12.8
CA,Tehama County,"10,484",16.3
CA,Trinity County,"1,986",16.5
CA,Tulare County,"86,940",18.9
CA,Tuolumne County,"5,781",11.3
CA,Ventura County,"68,482",8.2
CA,Yolo County,"35,608",16.9
CA,Yuba County,"11,748",15.2
CO,Colorado,"531,331",9.4
CO,Adams County,"47,464",9.3
CO,Alamosa County,"3,019",19.6
CO,Arapahoe County,"47,072",7.2
CO,Archuleta County,"1,502",10.8
CO,Baca County,675,19.3
CO,Bent County,"1,354",34.4
CO,Boulder County,"33,965",10.7
CO,Broomfield County,"2,865",4.1
CO,Chaffee County,"2,070",11
CO,Cheyenne County,243,13.7
CO,Clear Creek County,709,7.4
CO,Conejos County,"1,624",19.9
CO,Costilla County,955,24.6
CO,Crowley County,"1,249",40
CO,Custer County,577,11.8
CO,Delta County,"4,602",15.1
CO,Denver County,"86,020",12.1
CO,Dolores County,262,12.8
CO,Douglas County,"9,622",2.7
CO,Eagle County,"4,365",7.9
CO,Elbert County,"1,514",5.7
CO,El Paso County,"61,692",8.8
CO,Fremont County,"6,361",16.1
CO,Garfield County,"5,694",9.6
CO,Gilpin County,421,6.8
CO,Grand County,"1,271",8.1
CO,Gunnison County,"1,920",11.6
CO,Hinsdale County,72,8.9
CO,Huerfano County,"1,349",20
CO,Jackson County,175,12.6
CO,Jefferson County,"41,258",7.2
CO,Kiowa County,188,13.5
CO,Kit Carson County,927,13.2
CO,Lake County,913,11.4
CO,La Plata County,"6,127",11.3
CO,Larimer County,"35,894",10.3
CO,Las Animas County,"2,407",17.6
CO,Lincoln County,793,17
CO,Logan County,"2,389",12.9
CO,Mesa County,"16,840",11.2
CO,Mineral County,72,9.4
CO,Moffat County,"1,611",12.2
CO,Montezuma County,"3,856",14.9
CO,Montrose County,"5,565",13.2
CO,Morgan County,"3,386",11.9
CO,Otero County,"4,297",24.2
CO,Ouray County,342,6.9
CO,Park County,"1,602",8.6
CO,Phillips County,435,10.4
CO,Pitkin County,"1,099",6.2
CO,Prowers County,"2,159",18.2
CO,Pueblo County,"29,187",17.8
CO,Rio Blanco County,624,10.3
CO,Rio Grande County,"1,591",14.4
CO,Routt County,"1,820",7.2
CO,Saguache County,"1,726",25.4
CO,San Juan County,99,13.7
CO,San Miguel County,804,9.9
CO,Sedgwick County,323,14.6
CO,Summit County,"1,963",6.4
CO,Teller County,"1,990",7.9
CO,Washington County,556,11.8
CO,Weld County,"26,547",8.4
CO,Yuma County,"1,255",12.8
CT,Connecticut,"343,101",9.9
CT,Fairfield County,"83,047",9
