county,long,lat,Daily.Mean.PM2.5.Concentration,"CA_pm2.5_4.2out[, 4]","CA_pm2.5_4.3out[, 4]","CA_pm2.5_4.4out[, 4]","CA_pm2.5_4.5out[, 4]","CA_pm2.5_4.6out[, 4]","CA_pm2.5_4.7out[, 4]","CA_pm2.5_4.8out[, 4]","CA_pm2.5_4.9out[, 4]","CA_pm2.5_4.10out[, 4]","CA_pm2.5_4.11out[, 4]","CA_pm2.5_4.12out[, 4]","CA_pm2.5_4.13out[, 4]","CA_pm2.5_4.14out[, 4]","CA_pm2.5_4.15out[, 4]","CA_pm2.5_4.16out[, 4]"
San Benito,-121.085296,36.610702,6,5.9,6.4,4,4.5,2.6,3.9,6.4,9.6,6.5,2.3,3,3.6,3.8,0.9,1.4
San Bernardino,-116.181197,34.85722,16.1,20.2,12.6,20.6,18.5,19.8,10.1,10.5,18,18.4,14.8,7.7,9.6,10.2,10.7,5.8
San Diego,-116.776117,33.023604,8.6,11,4.2,7,11.7,6.8,4.6,3.8,8.4,13.2,13.2,6.6,5.6,7.6,6.4,5.9
San Francisco,-123.032229,37.727239,14.7,12.1,13.2,6.7,9.7,10.9,11.8,14.7,14.6,8.5,5.9,5.9,4.5,3.2,3.1,3.3
San Joaquin,-121.272237,37.935034,7.4,6.2,5.7,7,2.6,5.6,11.9,11.3,5.2,2.7,4,2.4,2.9,3.2,2.2,3.1
San Luis Obispo,-120.44754,35.385227,9,5.7,5.9,16.6,15.6,7,6.5,9.5,21.5,24.1,10.9,14.7,10.5,10.3,3.8,3.5
San Mateo,-122.371542,37.414664,11,10.4,11.3,4.3,8.5,6.5,9,10.7,13.5,7,6.4,5.1,3.8,1.8,2.3,1.8
Santa Barbara,-120.038485,34.537378,7,7.4,6,7.8,-0.3,10,5.9,9,17.9,16.7,5.6,1.2,3.1,5.5,4.2,1.6
Santa Clara,-121.690622,37.220777,9.5,9.4,8.9,6.3,5.7,6.8,6.7,10.4,15.6,9.6,6.3,6.6,6,6.4,3.1,4.5
Santa Cruz,-122.007205,37.012488,9.3,8.5,10.1,7,7.2,7.3,7.3,10.8,13,6.4,4.5,5.4,6.1,6,3,4.2
Shasta,-122.04355,40.760522,1,3,2.8,2,2,1.9,5.3,7.077304661,1.7,1.1,0.5,3.792424817,3.91853175,5.1,4.2,2.2
Sierra,-120.521993,39.576925,6.023355894,5.97043535,5.918635528,6.066540488,3.589667815,4.637267788,8.997210472,3.9,4.970334185,2.974789486,2.634656655,3.410087189,4.259449397,3.045294971,3.196897048,2.728904699
Siskiyou,-122.533287,41.587986,6,2.2,5.8,3.4,1.6,5.3,7.5,5.1,4.2,4.2,0.7,4.9,4.3,4.5,5.1,3.1
Solano,-121.939594,38.267226,11.2,11.4,10.7,4.3,6.4,8.4,10.2,12.5,11.1,7.3,2.9,5.6,4.7,4.2,4.8,4.5
Sonoma,-122.945194,38.532574,6.4,7.5,6.3,4.2,6.6,5.5,6.6,9.9,6.6,5,2.9,6.2,4,2.7,3,3.6
Stanislaus,-121.002656,37.562384,14.1,10.5,10.2,10.3,8.2,10,16.8,16,11.1,7.3,7.3,7.7,7.8,6.4,6.9,6.7
Sutter,-121.702758,39.035257,9,8.4,5.7,8,7.1,8.6,13.7,12.3,7.7,5.7,4.9,6.8,5.8,6.7,6,6
Tehama,-122.232276,40.126156,3.3,4.7,3,4.5,5,3.4,7.9,6.2,3.5,1.3,3.3,4.003025417,3.4,3.2,3.4,3.3
Trinity,-123.114404,40.647724,4.1,6,5.1,2.3,4.8,4.7,6,5.6,3.8,2.7,2.6,3.2,3.3,4.6,4.9,4
Tulare,-118.780542,36.230453,13.2,13.9,11.5,10.4,11.6,10.5,12.5,14,15.2,9.4,7.4,3.4,6.5,5.1,5.7,7.6
Tuolumne,-119.964708,38.021451,7.637476576,6.523250413,6.65344769,6.152810132,3.373703842,7.064494643,10.54952965,9.69454677,6.137749686,3.923251055,3.73233857,3.883926848,4.939159424,3.115468886,3.531964842,3.456827901
Ventura,-119.133143,34.358742,11.5,10.3,8.9,9.7,6.2,9,6,6.8,17.7,18.1,12.4,6.6,6.9,8.9,7.9,5.4
Yolo,-121.903178,38.679268,3.2,4.4,1.4,1,1.6,1.7,5.5,6.8,3.4,3.3,2.1,1,2.6,3.508718609,3.327743841,1.3
Yuba,-121.34428,39.270026,5.888794949,5.730764729,4.940505787,5.331508867,3.576014227,4.725462453,8.967791664,7.888332948,5.365299097,3.19449222,2.341377256,3.419484856,3.999932786,3.097303203,3.383770558,2.795735596
